planning_area,maturity
yishun,non-mature
serangoon,mature
marine parade,mature
bukit timah,mature
downtown core,mature
bukit batok,non-mature
kallang,mature
tanglin,mature
bedok,mature
bishan,mature
choa chu kang,non-mature
novena,mature
ang mo kio,mature
queenstown,mature
pasir ris,mature
museum,mature
tampines,mature
newton,mature
orchard,mature
bukit panjang,non-mature
sembawang,non-mature
geylang,mature
bukit merah,mature
sengkang,non-mature
toa payoh,mature
clementi,mature
outram,mature
woodlands,non-mature
jurong west,non-mature
hougang,non-mature
singapore river,mature
punggol,non-mature
river valley,mature
southern islands,mature
rochor,mature
jurong east,non-mature
seletar,mature
central water catchment,mature
tengah,non-mature
lim chu kang,mature
changi,mature
paya lebar,mature
mandai,mature
